2014-12-09 23:29:23.403 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 496, moves: 10 Player 2: searchType: 2, heuristic: 2, searchDepth: 1, average Time: 112, moves: 10, winner:1
2014-12-09 23:29:23.438 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 412, moves: 5 Player 2: searchType: 2, heuristic: 2, searchDepth: 2, average Time: 802, moves: 6, winner:2
2014-12-09 23:29:23.510 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 483, moves: 5 Player 2: searchType: 2, heuristic: 2, searchDepth: 3, average Time: 7136, moves: 6, winner:2
2014-12-09 23:29:26.959 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 528, moves: 21 Player 2: searchType: 2, heuristic: 2, searchDepth: 4, average Time: 160873, moves: 21, winner:1
2014-12-09 23:29:32.709 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 490, moves: 5 Player 2: searchType: 2, heuristic: 2, searchDepth: 5, average Time: 952801, moves: 6, winner:2
2014-12-09 23:29:33.193 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 3, average Time: 27226, moves: 16 Player 2: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 66, moves: 16, winner:1
2014-12-09 23:29:33.497 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 3, average Time: 14192, moves: 17 Player 2: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 815, moves: 17, winner:1
2014-12-09 23:29:34.056 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 3, average Time: 20362, moves: 13 Player 2: searchType: 1, heuristic: 0, searchDepth: 3, average Time: 19251, moves: 13, winner:1
2014-12-09 23:29:38.496 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 3, average Time: 10222, moves: 23 Player 2: searchType: 1, heuristic: 0, searchDepth: 4, average Time: 172589, moves: 24, winner:0
2014-12-09 23:30:29.902 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 3, average Time: 7679, moves: 23 Player 2: searchType: 1, heuristic: 0, searchDepth: 5, average Time: 2131695, moves: 24, winner:2
2014-12-09 23:30:30.010 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 3, average Time: 9020, moves: 8 Player 2: searchType: 1, heuristic: 1, searchDepth: 1, average Time: 155, moves: 8, winner:1
2014-12-09 23:30:30.140 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 3, average Time: 8447, moves: 9 Player 2: searchType: 1, heuristic: 1, searchDepth: 2, average Time: 1983, moves: 9, winner:1
